Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2019-02-27 21:44:13,2019-02-27 21:44:22,8.945s,PASSED
,,,,,,
Test Cases/Day5/Test3,,,2019-02-27 21:44:14,2019-02-27 21:44:22,8.462s,PASSED
"sendRequestAndVerify(findTestObject(""REST/ListUsers""))",,,2019-02-27 21:44:14,2019-02-27 21:44:20,6.095s,PASSED
"sendRequestAndVerify(findTestObject(""REST/CreateUser""))",,,2019-02-27 21:44:20,2019-02-27 21:44:21,0.526s,PASSED
"sendRequestAndVerify(findTestObject(""REST/UpdateUser""))",,,2019-02-27 21:44:21,2019-02-27 21:44:22,0.629s,PASSED
"sendRequestAndVerify(findTestObject(""REST/DeleteUser""))",,,2019-02-27 21:44:22,2019-02-27 21:44:22,0.764s,PASSED
