Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2019-02-27 21:51:07,2019-02-27 21:51:13,5.894s,PASSED
,,,,,,
Test Cases/Day5/Test3,,,2019-02-27 21:51:08,2019-02-27 21:51:13,5.486s,PASSED
"sendRequestAndVerify(findTestObject(""REST/ListUsers""))",,,2019-02-27 21:51:08,2019-02-27 21:51:12,3.727s,PASSED
"sendRequestAndVerify(findTestObject(""REST/CreateUser""))",,,2019-02-27 21:51:12,2019-02-27 21:51:12,0.399s,PASSED
"sendRequestAndVerify(findTestObject(""REST/UpdateUser""))",,,2019-02-27 21:51:12,2019-02-27 21:51:13,0.388s,PASSED
"sendRequestAndVerify(findTestObject(""REST/DeleteUser""))",,,2019-02-27 21:51:13,2019-02-27 21:51:13,0.580s,PASSED
