Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2019-02-27 21:39:07,2019-02-27 21:39:16,9.567s,FAILED
,,,,,,
Test Cases/Day5/Test3,,,2019-02-27 21:39:07,2019-02-27 21:39:16,8.745s,FAILED
"sendRequestAndVerify(findTestObject(""REST/ListUsers""))",,,2019-02-27 21:39:08,2019-02-27 21:39:14,5.827s,FAILED
"sendRequestAndVerify(findTestObject(""REST/CreateUser""))",,,2019-02-27 21:39:14,2019-02-27 21:39:15,0.840s,PASSED
"sendRequestAndVerify(findTestObject(""REST/UpdateUser""))",,,2019-02-27 21:39:15,2019-02-27 21:39:15,0.643s,PASSED
"sendRequestAndVerify(findTestObject(""REST/DeleteUser""))",,,2019-02-27 21:39:15,2019-02-27 21:39:16,0.721s,FAILED
